index_No,メーカー,シリーズ,車名,限定・専売モデル,品番,発売日,年度(表記無しの対応は0000),正規表現年度,単一商品フラグ,正規表現名,フレームサイズ,タイヤサイズ,単一タイヤサイズ,タイヤサイズ詳細,色,正規表現色,メーカー希望小売価格（税抜）,ボルト,アンペア,車両重量,エコ(弱)モード走行距離,標準(オート)モード,強モード,変速,最低適応身長（目安）,幼児2人同時適応身長,サドル高さ（最低）,リヤキャリア,低床フレーム,前輪駆動,登録日
1,丸石,ふらっか〜ず,ふらっか〜ずココッティ アシスト,,ASFRR203Y,,2021,/2021/ius,,/(ふらっか〜ず|ふらっかーず|フラッカーズ)[\\s・]?ココッティ[\\s・]アシスト/isu,,20,1,20×1.95,マットミント,/マットミント/ius,125000,36,10.4,32,80,55,44,内装3段,142,155,770,クラス27標準装備,低床,前輪駆動,20210727
2,丸石,ふらっか〜ず,ふらっか〜ずココッティ アシスト,,ASFRR203Y,,2021,/2021/ius,,/(ふらっか〜ず|ふらっかーず|フラッカーズ)[\\s・]?ココッティ[\\s・]アシスト/isu,,20,1,20×1.95,インクブルー,/インクブルー/ius,125000,36,10.4,32,80,55,44,内装3段,142,155,770,クラス27標準装備,低床,前輪駆動,20210727
3,丸石,ふらっか〜ず,ふらっか〜ずココッティ アシスト,,ASFRR203Y,,2021,/2021/ius,,/(ふらっか〜ず|ふらっかーず|フラッカーズ)[\\s・]?ココッティ[\\s・]アシスト/isu,,20,1,20×1.95,メタリックブラウン,/メタリックブラウン/ius,125000,36,10.4,32,80,55,44,内装3段,142,155,770,クラス27標準装備,低床,前輪駆動,20210727
4,丸石,ふらっか〜ず,ふらっか〜ずシュシュ アシスト,,ASFRCH203E,,2021,/2021/ius,,/(ふらっか〜ず|ふらっかーず|フラッカーズ)[\\s・]?シュシュ[\\s・]アシスト/isu,,20,1,20×1.95,ターコイズブルー,/ターコイズブルー/ius,125000,36,10.4,30.5,80,55,44,内装3段,142,155,770,クラス27標準装備,低床,前輪駆動,20210727
5,丸石,ふらっか〜ず,ふらっか〜ずシュシュ アシスト,,ASFRCH203E,,2021,/2021/ius,,/(ふらっか〜ず|ふらっかーず|フラッカーズ)[\\s・]?シュシュ[\\s・]アシスト/isu,,20,1,20×1.95,マットブラック,/マットブラック/ius,125000,36,10.4,30.5,80,55,44,内装3段,142,155,770,クラス27標準装備,低床,前輪駆動,20210727
6,丸石,ふらっか〜ず,ふらっか〜ずシュシュ アシスト,,ASFRCH203E,,2021,/2021/ius,,/(ふらっか〜ず|ふらっかーず|フラッカーズ)[\\s・]?シュシュ[\\s・]アシスト/isu,,20,1,20×1.95,バーミリオンレッド,/バーミリオンレッド/ius,125000,36,10.4,30.5,80,55,44,内装3段,142,155,770,クラス27標準装備,低床,前輪駆動,20210727
7,ヤマハ,PAS Kiss,PAS Kiss mini un,,PA20KXL,,2021,/2021/ius,,/pas.*?kiss[\\s・]?mini[\\s・]?un/iu,,20,1,20×2.125HE,マットカフェベージュ,/マットカフェベージュ/ius,144000,25.5,12.3,30.6,62,47,42,内装3段,142,146,730,クラス27標準装備,低床,,20210802
8,ヤマハ,PAS Kiss,PAS Kiss mini un,,PA20KXL,,2021,/2021/ius,,/pas.*?kiss[\\s・]?mini[\\s・]?un/iu,,20,1,20×2.125HE,マットブラック2,/マットブラック2/ius,144000,25.5,12.3,30.6,62,47,42,内装3段,142,146,730,クラス27標準装備,低床,,20210802
9,ヤマハ,PAS Kiss,PAS Kiss mini un sp,,PA20KSP,,2021,/2021/ius,,/pas.*?kiss[\\s・]?mini[\\s・]?un[\\s・](sp|スーパー)/iu,,20,1,20×2.125HE,パウダーブルー2,/パウダーブルー2/ius,148000,25.5,15.4,31.2,78,59,53,内装3段,142,146,730,クラス27標準装備,低床,,20210802
10,ヤマハ,PAS Kiss,PAS Kiss mini un sp,,PA20KSP,,2021,/2021/ius,,/pas.*?kiss[\\s・]?mini[\\s・]?un[\\s・](sp|スーパー)/iu,,20,1,20×2.125HE,マットアンバー,/マットアンバー/ius,148000,25.5,15.4,31.2,78,59,53,内装3段,142,146,730,クラス27標準装備,低床,,20210802
